utc,gsthour,freq,stokesid,ifid,chid,ch,u,v,w,uvdist,subarray,st1,st2,st1name,st2name,amp,phase,weight,sigma
2016-12-24 15:27:15.002518,21.693099385475104,43087500000.0,1,1,0,1,195571210.51884252,-86039652.70232433,-36285767.3114685,213660759.6657421,1,2,8,FD,OV,3.8931689210574216,-20.868562075378286,63.299827575683594,0.12568942414423906
2016-12-24 15:27:15.002518,21.693099385475104,43087500000.0,1,1,0,1,64367001.372933075,-49235847.5567578,-4857031.988019062,81038753.38611436,1,2,9,FD,PT,11.184976008711192,-12.409527476395734,7.670206069946289,0.361074221877754
2016-12-24 15:27:15.002518,21.693099385475104,43087500000.0,1,1,0,1,-395679933.77848023,172870454.3205344,410129834.72132033,431794863.29961187,1,2,10,FD,SC,3.698107444947758,52.306301733981705,13.17388916015625,0.27551357203253574
2016-12-24 15:27:15.002518,21.693099385475104,43087500000.0,1,1,0,1,-46042939.32563946,-52712017.71660914,62393340.90325011,69989349.71480042,1,4,5,KP,LA,3.7194158658387417,66.23335970853493,64.12872314453125,0.12487448311147262
2016-12-24 15:27:15.002518,21.693099385475104,43087500000.0,1,1,0,1,605359354.8280259,177756790.71766812,-118463886.35455234,630917922.6524229,1,4,6,KP,MK,1.9083529550090894,28.968282774574075,257.9088439941406,0.0622682818560885
2016-12-24 15:27:15.002518,21.693099385475104,43087500000.0,1,1,0,1,99391018.00835833,-69486799.23492727,7448712.928258691,121272378.25924294,1,4,8,KP,OV,9.409629644815876,-24.14288053133077,23.373611450195312,0.2068412196044354
2016-12-24 15:27:15.002518,21.693099385475104,43087500000.0,1,1,0,1,-31813185.126390286,-32683000.10052158,38877571.48050543,45609837.13473085,1,4,9,KP,PT,7.263237605688367,52.79904230251231,11.390115737915039,0.29630292005616377
2016-12-24 15:27:15.002518,21.693099385475104,43087500000.0,1,1,0,1,-491859821.7234817,189423267.71352583,453864796.85577524,527074243.89465785,1,4,10,KP,SC,2.0411611901735482,46.882096451512275,39.45104217529297,0.15921015303120034
2016-12-24 15:27:15.002518,21.693099385475104,43087500000.0,1,1,0,1,651402602.7265887,230468836.4863612,-180856257.4571863,690971226.1956724,1,5,6,LA,MK,1.4978241379963808,3.5912062542161065,72.83924102783203,0.11717023314016349
2016-12-24 15:27:15.002518,21.693099385475104,43087500000.0,1,1,0,1,145434057.52001184,-16774792.538779674,-54944410.571340896,146398288.07555506,1,5,8,LA,OV,3.715510986139437,-21.9487807477552,91.42816925048828,0.10458273333746752
2016-12-24 15:27:15.002518,21.693099385475104,43087500000.0,1,1,0,1,14229743.178787615,20029019.619807843,-23515783.44878665,24569233.155817058,1,5,9,LA,PT,9.673870727571332,-29.58414474674333,10.905930519104004,0.30280890082195466
2016-12-24 15:27:15.002518,21.693099385475104,43087500000.0,1,1,0,1,-445817599.72970295,242135249.36316994,391470614.3900069,507329095.5710288,1,5,10,LA,SC,4.315668953901274,31.8190305355662,8.276580810546875,0.3475957999148343
2016-12-24 15:27:15.002518,21.693099385475104,43087500000.0,1,1,0,1,-505968609.32562584,-247243630.02700102,125911810.81888032,563146203.2295312,1,6,8,MK,OV,1.7973748996564147,-60.39285573124984,130.52427673339844,0.08752948079133063
2016-12-24 15:27:15.002518,21.693099385475104,43087500000.0,1,1,0,1,-637172598.0623044,-210439792.82191,157340964.91986856,671024460.1535739,1,6,9,MK,PT,1.6075068768534417,-6.7847216303395985,113.25977325439453,0.09396414277321528
2016-12-24 15:27:15.002518,21.693099385475104,43087500000.0,1,1,0,1,-1097219785.6824732,11666474.992137441,572328042.0198375,1097281807.3456948,1,6,10,MK,SC,0.83896824876558,-13.779824807181654,223.79678344726562,0.06684563910016306
2016-12-24 15:27:15.002518,21.693099385475104,43087500000.0,1,1,0,1,-131204285.28728016,36803805.14556653,31428733.319729157,136268428.2984831,1,8,9,OV,PT,4.179831221148645,41.93532557847516,55.61233901977539,0.13409556645493678
2016-12-24 15:27:15.002518,21.693099385475104,43087500000.0,1,1,0,1,-591251625.1901903,258910090.9930965,446415221.32593536,645455590.6552323,1,8,10,OV,SC,1.820470270014818,45.63020181905951,100.1917724609375,0.0999042514620398
2016-12-24 15:27:15.002518,21.693099385475104,43087500000.0,1,1,0,1,-460047027.32254624,222106269.8177677,414986820.6237729,510856596.7477318,1,9,10,PT,SC,3.1974691414952097,44.100546147461856,21.985713958740234,0.21326997268308617
2016-12-24 16:22:45.003204,22.62063213758116,43087500000.0,1,1,0,1,-259511575.76203135,215123929.79801273,-3140422.782068832,337082427.7921245,1,1,2,BR,FD,5.024553938114162,17.163851394831084,9.752166748046875,0.32022072816947533
2016-12-24 16:22:45.003204,22.62063213758116,43087500000.0,1,1,0,1,-205783451.45355,146294294.71119833,2783683.1782937893,252485345.23251548,1,1,5,BR,LA,4.3195997613181385,35.15016024898137,4.701540946960449,0.4611900070890212
2016-12-24 16:22:45.003204,22.62063213758116,43087500000.0,1,1,0,1,-77787354.76825374,130672153.28472315,-85674342.43551087,152072628.06273967,1,1,8,BR,OV,7.065327066593608,-37.2729363666653,16.271451950073242,0.2479058903839559
2016-12-24 16:22:45.003204,22.62063213758116,43087500000.0,1,1,0,1,53725254.98103845,-68830300.32194783,5942808.935933718,87315595.77296102,1,2,5,FD,LA,10.449094410870101,18.318897941257717,80.95096588134766,0.11114475747074123
2016-12-24 16:22:45.003204,22.62063213758116,43087500000.0,1,1,0,1,181738663.80956554,-84452954.70081502,-82500361.3461701,200402703.27763596,1,2,8,FD,OV,4.240270756274819,-29.80830432024256,289.3450927734375,0.05878844046141934
2016-12-24 16:22:45.003204,22.62063213758116,43087500000.0,1,1,0,1,128012431.0130298,-15623071.152685715,-88434619.40580319,128962253.57098716,1,5,8,LA,OV,3.248812206360655,-37.297586576528175,221.7432098388672,0.06715445595656896
2016-12-24 16:23:14.995880,22.628986246768548,43087500000.0,1,1,0,1,-259529961.89933297,215108044.30362225,-2674362.453928994,337086445.65986085,1,1,2,BR,FD,5.133297106968185,16.11960187780783,19.551227569580078,0.22615853623509657
2016-12-24 16:23:14.995880,22.628986246768548,43087500000.0,1,1,0,1,-205786801.67386043,146281599.13949573,3153307.705338013,252480720.0361344,1,1,5,BR,LA,3.84535229041779,46.55886448748882,7.681881427764893,0.3607997270289813
2016-12-24 16:23:14.995880,22.628986246768548,43087500000.0,1,1,0,1,-77942482.79243536,130667624.8768873,-85540205.38499661,152148147.58917055,1,1,8,BR,OV,7.143761413282957,-36.72987930634463,19.05129051208496,0.22910670543709016
2016-12-24 16:23:14.995880,22.628986246768548,43087500000.0,1,1,0,1,53742815.58558415,-68826373.0301964,5828265.264190566,87323306.46258107,1,2,5,FD,LA,10.461307932866864,18.055426359676545,81.15088653564453,0.11100776676327935
2016-12-24 16:23:14.995880,22.628986246768548,43087500000.0,1,1,0,1,181586669.60390392,-84441036.57258159,-82846500.01733166,200259849.28409746,1,2,8,FD,OV,4.231335524446696,-29.95487101855134,389.37957763671875,0.05067729379105384
2016-12-24 16:23:14.995880,22.628986246768548,43087500000.0,1,1,0,1,127844599.40226445,-15614666.54796562,-88678672.53607085,128794640.44644727,1,5,8,LA,OV,3.2930163081125214,-38.00752408368612,165.0164337158203,0.07784601784802309
